,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
8049,8081,I am a student who is learning to code,No,,12,,,,Taiwan,,,,,Academic researcher;Scientist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,East Asian,Man,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",C++;Python,C++;Python,,Keras,Github,Github,,,,,,Once a year,No,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,,Linux,Linux,,,Yes,"No, not at all",Less than once per month or monthly,A few times per week,Easy,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,,8,
8243,8275,I code primarily as a hobby,Yes,17.0,12,,,,Taiwan,,,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,East Asian,Man,,,,C#;JavaScript;Python,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python,Keras;TensorFlow;Unity 3D,Keras;Node.js;TensorFlow;Unity 3D,Github,Github,,,,,,,Not sure,,No,,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;iOS;Windows,Windows,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Too long,No,,,,Just as welcome now as I felt last year,,4,
8298,8330,I code primarily as a hobby,Yes,24.0,10,,,,Taiwan,,,,MySQL;SQLite,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,White or of European descent,Man,,,,Go;R,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,,Keras;Pandas;TensorFlow;Torch/PyTorch;Unity 3D,,"Github;Trello;Google Suite (Docs, Meet, etc)",,,,,,Once every few years,Not sure,,No,,Ask developers I know/work with;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,,Docker;Google Cloud Platform;Kubernetes,Android;Arduino;Linux;Raspberry Pi;Windows;WordPress,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,,14,
8876,8908,I am a developer by profession,Yes,28.0,11,,,,Taiwan,New Taiwan dollar,TWD,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;Python,Bash/Shell/PowerShell;Go;Python;Scala,Apache Spark;Keras;TensorFlow;Torch/PyTorch,Apache Spark;Keras;Pandas;TensorFlow;Torch/PyTorch,"Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,,Yes,,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;MacOS,AWS;Docker;Google Cloud Platform;Kubernetes;MacOS,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,,40.0,17,5
8930,8962,I am a developer by profession,Yes,31.0,10,Yearly,1200000.0,39770.0,Taiwan,New Taiwan dollar,TWD,,Firebase;Microsoft SQL Server;MySQL;SQLite,"Developer, game or graphics;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;VBA,Flutter,.NET;Unity 3D,,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,MacOS,500 to 999 employees,,Android;Google Cloud Platform;iOS;Linux;MacOS;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",,jQuery,Just as welcome now as I felt last year,40.0,20,9
10069,10102,I am a developer by profession,No,24.0,12,Monthly,,,Taiwan,New Taiwan dollar,TWD,MongoDB;MySQL;Oracle;PostgreSQL,MongoDB;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Associate degree (A.A., A.S., etc.)",Employed full-time,East Asian,Man,Diversity of the company or organization;Remote work options;How widely used or impactful my work output would be,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,,,Github;Gitlab;Facebook Workplace;Slack;Microsoft Azure,Github;Gitlab;Facebook Workplace;Slack;Microsoft Azure,Not sure,Extremely important,Very important,Just because;Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,Yes,Yes,Yes,Rarely: 1-2 days per year or less,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later;Visit another developer community (please name):,MacOS,20 to 99 employees,,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,I have a great deal of influence,Bisexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Too long,No,"Information systems, information technology, or system administration",,Express;jQuery;React.js;Vue.js,A lot more welcome now than last year,45.0,10,2
10747,10781,"I am not primarily a developer, but I write code sometimes as part of my work",No,26.0,16,Monthly,38300.0,15228.0,Taiwan,New Taiwan dollar,TWD,MySQL,MySQL,Academic researcher;Data or business analyst,"Professional degree (JD, MD, etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",SQL,R,,,"Github;Google Suite (Docs, Meet, etc)","Github;Google Suite (Docs, Meet, etc)",No,Neutral,Fairly important,Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow,Windows,2 to 9 employees,Docker;Google Cloud Platform;Linux;Windows,Docker;Google Cloud Platform;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,No,"A natural science (such as biology, chemistry, physics, etc.)",,,Somewhat more welcome now than last year,45.0,Less than 1 year,1
13987,14030,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,36.0,13,Yearly,1800000.0,59655.0,Taiwan,New Taiwan dollar,TWD,Elasticsearch,Cassandra;MongoDB;MySQL;Redis,DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian;Southeast Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Go;Rust,Bash/Shell/PowerShell;Go;Python,Ansible;Teraform,Ansible;Apache Spark;Hadoop;Teraform,,Confluence;Jira;Github;Facebook Workplace;Slack;Microsoft Teams,Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Linux-based,20 to 99 employees,Docker;Kubernetes;Raspberry Pi,AWS;Docker;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",,,Just as welcome now as I felt last year,40.0,13,10
14059,14102,I am a developer by profession,Yes,31.0,19,Monthly,42000.0,16704.0,Taiwan,New Taiwan dollar,TWD,Firebase;Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL;SQLite,"Developer, desktop or enterprise applications;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,Slightly dissatisfied,I am actively looking for a job,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,,,,,No,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,10 to 19 employees,Arduino;Google Cloud Platform;Windows,Android;Arduino;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",jQuery,jQuery,Just as welcome now as I felt last year,50.0,4,2
14195,14239,I am a developer by profession,Yes,24.0,19,Monthly,41000.0,16308.0,Taiwan,New Taiwan dollar,TWD,MongoDB;Oracle,Microsoft SQL Server,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be,Very satisfied,"I’m not actively looking, but I am open to new opportunities",,Assembly;C#;HTML/CSS;JavaScript;SQL;VBA,Xamarin,.NET,,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Every few months,No,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,Windows,"10,000 or more employees",Android,Android;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Difficult,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Django,ASP.NET;jQuery,Just as welcome now as I felt last year,40.0,2,2
19852,19932,I am a developer by profession,Yes,25.0,15,,,,Taiwan,New Taiwan dollar,TWD,MariaDB;Redis,MariaDB;Redis,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;Rust;SQL,HTML/CSS;PHP;SQL,,,Github;Gitlab;Trello,Github;Gitlab;Trello,No,Somewhat important,Fairly important,Just because;Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,No,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,MacOS,20 to 99 employees,Linux;MacOS,Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Laravel,jQuery;Laravel,A lot more welcome now than last year,45.0,9,1
19860,19940,I am a student who is learning to code,Yes,25.0,15,,,,Taiwan,,,Elasticsearch,Elasticsearch;MySQL,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,East Asian,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;Julia;Python;Swift,Bash/Shell/PowerShell;C;C++;Python,Keras;Pandas;TensorFlow;Torch/PyTorch,Keras;Pandas;TensorFlow;Torch/PyTorch,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",,,,,,Once a year,No,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Linux-based,,Docker;Google Cloud Platform;Linux;MacOS;Windows,Docker;Google Cloud Platform;Linux;MacOS;Raspberry Pi;Windows,,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,,9,
19937,20017,"I am not primarily a developer, but I write code sometimes as part of my work",No,24.0,16,Monthly,50000.0,19884.0,Taiwan,New Taiwan dollar,TWD,,,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Woman,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python,C;C#;C++;Python,Keras;Pandas;TensorFlow;Torch/PyTorch,Keras;Pandas;TensorFlow,Github;Gitlab,Gitlab,Not sure,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Trouble with my direct manager,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"5,000 to 9,999 employees",Docker;Linux;Raspberry Pi;Windows,Linux;Windows,I have little or no influence,Bisexual,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,9.0,6,2
19938,20018,I am a developer by profession,Yes,49.0,10,Monthly,95000.0,37776.0,Taiwan,New Taiwan dollar,TWD,,Microsoft SQL Server;MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python,.NET Core;Node.js,.NET;.NET Core;Node.js,Github,Github,Not sure,Neutral,Fairly important,Just because,Personal network - friends or family,Once a year,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,Windows,100 to 499 employees,Android;iOS;Linux;Raspberry Pi;Windows,Android;Google Cloud Platform;Linux;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Flask,ASP.NET;ASP.NET Core;Flask,Just as welcome now as I felt last year,40.0,40,22
19964,20044,I am a developer by profession,Yes,40.0,16,Yearly,3120000.0,103402.0,Taiwan,New Taiwan dollar,TWD,,DynamoDB;Elasticsearch;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;C++;Kotlin;Python;Rust;TypeScript,Bash/Shell/PowerShell;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,.NET Core;Flutter,.NET Core,Github;Microsoft Teams,Github;Microsoft Teams,Yes,Neutral,Very important,Having a bad day (or week or month) at work;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",Kubernetes;Linux;Microsoft Azure;Windows,AWS;Docker;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,ASP.NET Core;React.js,Just as welcome now as I felt last year,40.0,22,18
20080,20160,I am a developer by profession,Yes,,10,Monthly,,,Taiwan,New Taiwan dollar,TWD,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,Cassandra;Couchbase;MongoDB;PostgreSQL;Redis;SQLite,"Data scientist or machine learning specialist;Developer, back-end;Engineering manager","Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,,Man,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;Go;Kotlin;Python;Rust,Bash/Shell/PowerShell;C;Go;JavaScript;Objective-C;Python;SQL,Torch/PyTorch,Torch/PyTorch,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Very important,Better compensation;Trouble with leadership at my company;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,20 to 99 employees,Docker;Linux;MacOS;Raspberry Pi,Docker;Linux;MacOS;Raspberry Pi,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Flask,Flask,Just as welcome now as I felt last year,40.0,25,13
20100,20180,I am a developer by profession,No,37.0,19,Yearly,1390000.0,46067.0,Taiwan,New Taiwan dollar,TWD,,MySQL,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,,Industry that I’d be working in;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;JavaScript,C;C#;HTML/CSS;Objective-C;Python;Swift,.NET;Node.js,,Github,,Yes,Extremely important,Critically important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Every few months,,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"1,000 to 4,999 employees",Windows,Arduino;AWS;iOS,I have some influence,,No,Not sure,,A few times per week,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",,jQuery,,40.0,18,9
20122,20202,I am a developer by profession,No,,31,Monthly,1400000.0,556776.0,Taiwan,New Taiwan dollar,TWD,Microsoft SQL Server;MongoDB,,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly dissatisfied,I am actively looking for a job,C++;HTML/CSS;Java;JavaScript;Python,C;C++,Node.js,,"Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Somewhat important,Not at all important/not necessary,Just because;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,No,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",AWS;Linux;Microsoft Azure,Android;Windows,I have little or no influence,Straight / Heterosexual,No,"No, not really",,Daily or almost daily,Neither easy nor difficult,Too short,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",React.js,jQuery,Just as welcome now as I felt last year,40.0,12,6
20125,20205,I am a developer by profession,Yes,39.0,16,Yearly,2000000.0,66283.0,Taiwan,New Taiwan dollar,TWD,Cassandra;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,South Asian,Man,Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;Java;Python;Scala;SQL,C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,.NET Core,.NET;.NET Core;Node.js,"Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Just because;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow,Windows,"10,000 or more employees",Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Flask;Spring;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;Flask;jQuery;React.js;Ruby on Rails;Vue.js,Somewhat more welcome now than last year,50.0,20,13
